,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Quadrum Oy,26.01.2016,
1,Y-tunnus,2734836-5,,
2,Kotipaikka,Porvoo,26.01.2016,
3,Yritysmuoto,Osakeyhtiö,26.01.2016,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,26.01.2016,,
6,Viimeisin rekisteröintiajankohta,16.05.2023,16.05.2023,
7,Yrityksen tiedot järjestelmässä alkaen,26.01.2016,,
8,Yrityksen tila,Rekisterissä,26.01.2016,
9,Yrityksellä on yrityskiinnityksiä,Kyllä,,
10,Yrityksellä on edunsaajatietoja,Kyllä,16.05.2023,
11,Yhteystiedot,,03.01.2023,
12,Postiosoite,Sähkövirrantie 4  06400  Porvoo  Suomi,,
13,Puhelin,"0503620342, 0503620342",,
14,Sähköposti,aaro(a)kivaterassi.fi,,
