,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Lamcom Oy,13.11.2015,
1,Y-tunnus,2720789-6,,
2,Kotipaikka,Tampere,13.11.2015,
3,Yritysmuoto,Osakeyhtiö,13.11.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,13.11.2015,,
6,Viimeisin rekisteröintiajankohta,01.04.2023,01.04.2023,
7,Yrityksen tiedot järjestelmässä alkaen,13.11.2015,,
8,Yrityksen tila,Rekisterissä,13.11.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,06.03.2020,
11,Yhteystiedot,,29.08.2017,
12,Postiosoite,PL 25  33711  Tampere  Suomi,,
13,Puhelin,"+358505277555, +358505277555",,
14,Sähköposti,lamcomoy(a)gmail.com,,
