,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Väätäjä Team Oy,20.03.2015,
1,Y-tunnus,2676766-4,,
2,Kotipaikka,Kokkola,20.03.2015,
3,Yritysmuoto,Osakeyhtiö,20.03.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,20.03.2015,,
6,Viimeisin rekisteröintiajankohta,05.04.2022,05.04.2022,
7,Yrityksen tiedot järjestelmässä alkaen,20.03.2015,,
8,Yrityksen tila,Rekisterissä,20.03.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Ei,,
11,Yhteystiedot,,18.02.2015,
12,Postiosoite,Prestinpolku 25  67410  Kokkola  Suomi,,
13,Puhelin,040-7798506,,
