,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,PSIP Oy,18.09.2019,
1,Y-tunnus,2708143-7,,
2,Kotipaikka,Oulu,16.09.2015,
3,Yritysmuoto,Osakeyhtiö,16.09.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,16.09.2015,,
6,Viimeisin rekisteröintiajankohta,11.01.2023,11.01.2023,
7,Yrityksen tiedot järjestelmässä alkaen,16.09.2015,,
8,Yrityksen tila,Rekisterissä,16.09.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,03.12.2020,
11,Yhteystiedot,,12.09.2019,
12,Postiosoite,c/o P-S Kiinteistösijoitus Oy  Kansankatu 54 A 27  90100  Oulu  Suomi,,
13,Käyntiosoite,c/o P-S Kiinteistösijoitus Oy  Kansankatu 54 A 27  90100  Oulu  Suomi,,
14,Puhelin,0447580400,,
15,Sähköposti,vuokraus(a)pskiinteisto.fi,,
