,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Rento Innovations Oy,13.02.2015,
1,Y-tunnus,2670618-3,,
2,Kotipaikka,Salo,13.02.2015,
3,Yritysmuoto,Osakeyhtiö,13.02.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,13.02.2015,,
6,Viimeisin rekisteröintiajankohta,08.12.2022,08.12.2022,
7,Yrityksen tiedot järjestelmässä alkaen,13.02.2015,,
8,Yrityksen tila,Rekisterissä,13.02.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,03.03.2020,
11,Yhteystiedot,,27.01.2021,
12,Postiosoite,Turuntie 1  24100  Salo  Suomi,,
13,Käyntiosoite,Turuntie 1  24100  Salo  Suomi,,
14,Puhelin,"0504842634, 0504842634",,
15,Sähköposti,vesa.nohteri(a)rentoinnovations.fi,,
16,Www,http://www.rentoinnovations.fi,,
