,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Avain Rakennuttaja Oy,11.05.2017,
1,Y-tunnus,2715826-2,,
2,Kotipaikka,Helsinki,08.10.2015,
3,Yritysmuoto,Osakeyhtiö,08.10.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,08.10.2015,,
6,Viimeisin rekisteröintiajankohta,29.07.2022,29.07.2022,
7,Yrityksen tiedot järjestelmässä alkaen,08.10.2015,,
8,Yrityksen tila,Rekisterissä,08.10.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,17.06.2020,
11,Yhteystiedot,,23.10.2018,
12,Postiosoite,Lautatarhankatu 8 B  00580  Helsinki  Suomi,,
13,Käyntiosoite,Lautatarhankatu 8 B  00580  Helsinki  Suomi,,
14,Puhelin,020 7624 700,,
15,Sähköposti,etunimi.sukunimi(a)avainyhtiot.fi,,
16,Www,http://www.avainasunnot.fi,,
