,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Rinnekeskus Pääskyvuori Oy,23.12.2015,
1,Y-tunnus,2731509-6,,
2,Kotipaikka,Heinävesi,23.12.2015,
3,Yritysmuoto,Osakeyhtiö,23.12.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,23.12.2015,,
6,Viimeisin rekisteröintiajankohta,10.09.2022,10.09.2022,
7,Yrityksen tiedot järjestelmässä alkaen,23.12.2015,,
8,Yrityksen tila,Rekisterissä,23.12.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,08.07.2020,
11,Yhteystiedot,,05.10.2021,
12,Postiosoite,Purotie 6  79700  Heinävesi  Suomi,,
13,Käyntiosoite,Pääskyvuorentie 9  79700  Heinävesi  Suomi,,
14,Www,http://www.paaskyvuori.fi,,
