,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Itä-Suomen Putkiurakointi Oy,26.06.2015,
1,Y-tunnus,2695173-6,,
2,Kotipaikka,Joensuu,26.06.2015,
3,Yritysmuoto,Osakeyhtiö,26.06.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,26.06.2015,,
6,Viimeisin rekisteröintiajankohta,09.03.2023,09.03.2023,
7,Yrityksen tiedot järjestelmässä alkaen,26.06.2015,,
8,Yrityksen tila,Rekisterissä,26.06.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Ei,,
11,Yhteystiedot,,08.06.2015,
12,Postiosoite,Juhonkuja 22  80260  Joensuu  Suomi,,
13,Käyntiosoite,Juhonkuja 22  80260  Joensuu  Suomi,,
14,Puhelin,0400 240993,,
