,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Sanat On Oy,15.01.2016,
1,Y-tunnus,2734925-3,,
2,Kotipaikka,Varkaus,15.01.2016,
3,Yritysmuoto,Osakeyhtiö,15.01.2016,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,15.01.2016,,
6,Viimeisin rekisteröintiajankohta,05.06.2023,05.06.2023,
7,Yrityksen tiedot järjestelmässä alkaen,15.01.2016,,
8,Yrityksen tila,Rekisterissä,15.01.2016,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,05.06.2023,
11,Yhteystiedot,,09.07.2018,
12,Postiosoite,Wredenkatu 2  78250  Varkaus  Suomi,,
13,Käyntiosoite,Wredenkatu 2  78250  Varkaus  Suomi,,
14,Sähköposti,info(a)sanaton.fi,,
15,Www,http://www.sanaton.fi,,
