,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Tatkraft Suomi Oy,26.06.2015,
1,Y-tunnus,2697115-5,,
2,Kotipaikka,Helsinki,26.06.2015,
3,Yritysmuoto,Osakeyhtiö,26.06.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,26.06.2015,,
6,Viimeisin rekisteröintiajankohta,21.07.2022,21.07.2022,
7,Yrityksen tiedot järjestelmässä alkaen,26.06.2015,,
8,Yrityksen tila,Rekisterissä,26.06.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Ei,,
11,Yhteystiedot,,30.12.2015,
12,Postiosoite,Iso-Roobertinkatu 20-22 A 82  00120  Helsinki  Suomi,,
13,Käyntiosoite,Iso-Roobertinkatu 20-22 A 82  00120  Helsinki  Suomi,,
14,Puhelin,+358407574466,,
15,Sähköposti,tatkraft.suomi(a)gmail.com,,
