,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Häme Event Oy,16.09.2015,
1,Y-tunnus,2709788-5,,
2,Kotipaikka,Hämeenlinna,16.09.2015,
3,Yritysmuoto,Osakeyhtiö,16.09.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,16.09.2015,,
6,Viimeisin rekisteröintiajankohta,03.03.2023,03.03.2023,
7,Yrityksen tiedot järjestelmässä alkaen,16.09.2015,,
8,Yrityksen tila,Rekisterissä,16.09.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,18.01.2021,
11,Yhteystiedot,,23.10.2017,
12,Postiosoite,Arvi Kariston katu 1 B 27  13100  Hämeenlinna  Suomi,,
13,Käyntiosoite,Arvi Kariston katu 1  13100  Hämeenlinna  Suomi,,
14,Puhelin,0453264401,,
15,Sähköposti,myynti(a)hameevent.fi,,
16,Www,http://www.hameevent.fi,,
