,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Uutechnic Oy,31.12.2015,
1,Y-tunnus,2708799-4,,
2,Kotipaikka,Uusikaupunki,31.12.2015,
3,Yritysmuoto,Osakeyhtiö,31.12.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,31.12.2015,,
6,Viimeisin rekisteröintiajankohta,03.06.2022,03.06.2022,
7,Yrityksen tiedot järjestelmässä alkaen,31.12.2015,,
8,Yrityksen tila,Rekisterissä,31.12.2015,
9,Yrityksellä on yrityskiinnityksiä,Kyllä,,
10,Yrityksellä on edunsaajatietoja,Kyllä,24.06.2020,
11,Yhteystiedot,,21.03.2018,
12,Postiosoite,Muottitie 2  23500  Uusikaupunki  Suomi,,
13,Käyntiosoite,Muottitie 2  23500  Uusikaupunki  Suomi,,
14,Puhelin,+358201880511,,
15,Www,http://www.uutechnicgroup.fi,,
