,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Haapalamminkangas Wind Farm Oy,09.12.2015,
1,Y-tunnus,2729322-9,,
2,Kotipaikka,Saarijärvi,09.12.2015,
3,Yritysmuoto,Osakeyhtiö,09.12.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,09.12.2015,,
6,Viimeisin rekisteröintiajankohta,03.11.2022,03.11.2022,
7,Yrityksen tiedot järjestelmässä alkaen,09.12.2015,,
8,Yrityksen tila,Rekisterissä,09.12.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,22.06.2020,
11,Yhteystiedot,,02.02.2023,
12,Postiosoite,c/o Winda Energy Oy  Mikonkatu 2 D  00100  Helsinki  Suomi,,
13,Käyntiosoite,c/o Winda Energy Oy  Mikonkatu 2 D  00100  Helsinki  Suomi,,
