,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,LeanEHS Oy,11.06.2015,
1,Y-tunnus,2695033-8,,
2,Kotipaikka,Helsinki,11.06.2015,
3,Yritysmuoto,Osakeyhtiö,11.06.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,11.06.2015,,
6,Viimeisin rekisteröintiajankohta,13.09.2022,13.09.2022,
7,Yrityksen tiedot järjestelmässä alkaen,11.06.2015,,
8,Yrityksen tila,Rekisterissä,11.06.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,29.09.2020,
11,Yhteystiedot,,02.11.2020,
12,Postiosoite,Auguststr. 19 10117 Berlin  Saksa,,
13,Www,http://www.leanehs.com,,
