,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Saneeraus Jade Oy,14.08.2017,
1,Y-tunnus,2730501-5,,
2,Kotipaikka,Helsinki,14.08.2017,
3,Yritysmuoto,Osakeyhtiö,14.08.2017,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,21.12.2015,,
6,Viimeisin rekisteröintiajankohta,10.06.2022,10.06.2022,
7,Yrityksen tiedot järjestelmässä alkaen,21.12.2015,,
8,Yrityksen tila,Rekisterissä,21.12.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,08.07.2019,
11,Yhteystiedot,,22.06.2017,
12,Postiosoite,Heinäpellontie 26 C 11  00700  Helsinki  Suomi,,
13,Käyntiosoite,Heinäpellontie 26 C 11  00700  Helsinki  Suomi,,
14,Puhelin,040-1763200,,
