,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Tsamma Oy,05.03.2015,
1,Y-tunnus,2677755-5,,
2,Kotipaikka,Kaarina,05.03.2015,
3,Yritysmuoto,Osakeyhtiö,05.03.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,05.03.2015,,
6,Viimeisin rekisteröintiajankohta,21.05.2022,21.05.2022,
7,Yrityksen tiedot järjestelmässä alkaen,05.03.2015,,
8,Yrityksen tila,Rekisterissä,05.03.2015,
9,Yrityksellä on yrityskiinnityksiä,Kyllä,,
10,Yrityksellä on edunsaajatietoja,Kyllä,11.07.2020,
11,Yhteystiedot,,05.01.2020,
12,Postiosoite,Lehmustie 6 as. 2  20720  Turku  Suomi,,
13,Käyntiosoite,Kaarikatu 8  20760  Piispanristi  Suomi,,
14,Puhelin,0443444203,,
15,Sähköposti,info(a)tsamma.fi,,
16,Www,http://www.tsamma.fi,,
