,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Espoon Hautaustoimisto Oy,09.02.2016,
1,Y-tunnus,2682497-2,,
2,Kotipaikka,Helsinki,26.03.2015,
3,Yritysmuoto,Osakeyhtiö,26.03.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,26.03.2015,,
6,Viimeisin rekisteröintiajankohta,01.06.2022,01.06.2022,
7,Yrityksen tiedot järjestelmässä alkaen,26.03.2015,,
8,Yrityksen tila,Rekisterissä,26.03.2015,
9,Yrityksellä on yrityskiinnityksiä,Kyllä,,
10,Yrityksellä on edunsaajatietoja,Kyllä,02.07.2020,
11,Yhteystiedot,,12.04.2016,
12,Postiosoite,Espoonaukio 7  02770  Espoo  Suomi,,
13,Käyntiosoite,Espoonaukio 7  02770  Espoo  Suomi,,
14,Puhelin,"09 7002 4828, 0503762528",,
15,Faksi,09 7002 4827,,
16,Sähköposti,johanna.muurimaki(a)kolumbus.fi,,
