,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Lakiasiaintoimisto Borgenström Oy,11.12.2015,
1,Y-tunnus,2728284-5,,
2,Kotipaikka,Tampere,11.12.2015,
3,Yritysmuoto,Osakeyhtiö,11.12.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,11.12.2015,,
6,Viimeisin rekisteröintiajankohta,06.05.2023,06.05.2023,
7,Yrityksen tiedot järjestelmässä alkaen,11.12.2015,,
8,Yrityksen tila,Rekisterissä,11.12.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,09.07.2019,
11,Yhteystiedot,,02.01.2018,
12,Postiosoite,Verstaankatu 3 lh. 3  33100  Tampere  Suomi,,
13,Käyntiosoite,Verstaankatu 3 lh. 3  33100  Tampere  Suomi,,
14,Puhelin,0400365626,,
15,Sähköposti,toimisto(a)tblaki.fi,,
16,Www,http://www.tblaki.fi,,
