,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Oy ChemBiz Ab Ltd.,29.09.2015,
1,Y-tunnus,2711405-9,,
2,Kotipaikka,Kotka,29.09.2015,
3,Yritysmuoto,Osakeyhtiö,29.09.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,29.09.2015,,
6,Viimeisin rekisteröintiajankohta,15.03.2023,15.03.2023,
7,Yrityksen tiedot järjestelmässä alkaen,29.09.2015,,
8,Yrityksen tila,Rekisterissä,29.09.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,15.03.2023,
11,Yhteystiedot,,15.09.2015,
12,Postiosoite,Seponkatu 21  48600  Kotka  Suomi,,
13,Käyntiosoite,Seponkatu 21  48600  Kotka  Suomi,,
14,Puhelin,0400557800,,
15,Sähköposti,info(a)chembiz.eu,,
16,Www,http://www.chembiz.eu,,
