,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Bitio Oy,01.04.2015,
1,Y-tunnus,2683209-1,,
2,Kotipaikka,Janakkala,01.04.2015,
3,Yritysmuoto,Osakeyhtiö,01.04.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,01.04.2015,,
6,Viimeisin rekisteröintiajankohta,07.02.2023,07.02.2023,
7,Yrityksen tiedot järjestelmässä alkaen,01.04.2015,,
8,Yrityksen tila,Rekisterissä,01.04.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,18.06.2020,
11,Yhteystiedot,,31.03.2015,
12,Postiosoite,Toivantie 198  12450  Vähikkälä  Suomi,,
13,Käyntiosoite,Toivantie 198  12450  Vähikkälä  Suomi,,
