,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Isännöintiliiga Oy,20.03.2019,
1,Y-tunnus,2675690-6,,
2,Kotipaikka,Helsinki,09.03.2015,
3,Yritysmuoto,Osakeyhtiö,09.03.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,09.03.2015,,
6,Viimeisin rekisteröintiajankohta,23.02.2023,23.02.2023,
7,Yrityksen tiedot järjestelmässä alkaen,09.03.2015,,
8,Yrityksen tila,Rekisterissä,09.03.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,04.09.2019,
11,Yhteystiedot,,02.12.2020,
12,Postiosoite,Kauppalankatu 22 A 5  05800  Hyvinkää  Suomi,,
13,Käyntiosoite,Kauppalankatu 22 A 5  05800  Hyvinkää  Suomi,,
14,Puhelin,0503256377,,
15,Sähköposti,info(a)isannointiliiga.fi,,
16,Www,http://www.isannointiliiga.fi,,
