,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Tampereen Bakery Cafe Oy,17.02.2016,
1,Y-tunnus,2739499-4,,
2,Kotipaikka,Tampere,17.02.2016,
3,Yritysmuoto,Osakeyhtiö,17.02.2016,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,17.02.2016,,
6,Viimeisin rekisteröintiajankohta,10.12.2021,10.12.2021,
7,Yrityksen tiedot järjestelmässä alkaen,17.02.2016,,
8,Yrityksen tila,Rekisterissä,17.02.2016,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,01.07.2020,
11,Yhteystiedot,,13.06.2016,
12,Postiosoite,Tuomiokirkonkatu 26  33100  Tampere  Suomi,,
13,Käyntiosoite,Tuomiokirkonkatu 26  33100  Tampere  Suomi,,
14,Puhelin,0504629332,,
15,Sähköposti,tampereen(a)bakerycafe.fi,,
16,Www,http://www.bakerycafe.fi,,
