,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Rose Factory Oy,23.10.2015,
1,Y-tunnus,2718838-1,,
2,Kotipaikka,Kouvola,23.10.2015,
3,Yritysmuoto,Osakeyhtiö,23.10.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,23.10.2015,,
6,Viimeisin rekisteröintiajankohta,08.07.2022,08.07.2022,
7,Yrityksen tiedot järjestelmässä alkaen,23.10.2015,,
8,Yrityksen tila,Rekisterissä,23.10.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,08.06.2020,
11,Yhteystiedot,,20.10.2015,
12,Postiosoite,Leenanpolku 6  45370  Valkeala  Suomi,,
13,Käyntiosoite,Leenanpolku 6  45370  Valkeala  Suomi,,
14,Puhelin,0407341010,,
15,Sähköposti,merja.naroma(a)rosefactory.fi,,
16,Www,http://www.rosefactory.fi,,
