,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Lerni Oy,24.08.2015,
1,Y-tunnus,2703505-1,,
2,Kotipaikka,Nurmijärvi,24.08.2015,
3,Yritysmuoto,Osakeyhtiö,24.08.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,24.08.2015,,
6,Viimeisin rekisteröintiajankohta,14.07.2021,14.07.2021,
7,Yrityksen tiedot järjestelmässä alkaen,24.08.2015,,
8,Yrityksen tila,Rekisterissä,24.08.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Ei,,
11,Yhteystiedot,,24.08.2015,
12,Postiosoite,Kiikkaistentie 5  01800  Klaukkala,,
13,Käyntiosoite,Kiikkaistentie 5  01800  Klaukkala,,
