,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,IS-Pipe Oy,09.04.2015,
1,Y-tunnus,2684246-8,,
2,Kotipaikka,Uusikaupunki,09.04.2015,
3,Yritysmuoto,Osakeyhtiö,09.04.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,09.04.2015,,
6,Viimeisin rekisteröintiajankohta,06.07.2020,06.07.2020,
7,Yrityksen tiedot järjestelmässä alkaen,09.04.2015,,
8,Yrityksen tila,Rekisterissä,09.04.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,06.07.2020,
11,Yhteystiedot,,31.03.2015,
12,Postiosoite,Raumantie 1047  23500  Uusikaupunki  Suomi,,
13,Puhelin,040 5111 066,,
