,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Pohjanmaan toiminta Oy,16.06.2015,
1,Y-tunnus,2691551-6,,
2,Kotipaikka,Vaasa,16.06.2015,
3,Yritysmuoto,Osakeyhtiö,16.06.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,16.06.2015,,
6,Viimeisin rekisteröintiajankohta,13.05.2022,13.05.2022,
7,Yrityksen tiedot järjestelmässä alkaen,16.06.2015,,
8,Yrityksen tila,Rekisterissä,16.06.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,25.03.2020,
11,Yhteystiedot,,19.05.2015,
12,Postiosoite,Pisarapolku 9  65380  Vaasa  Suomi,,
13,Käyntiosoite,Pisarapolku 9  65380  Vaasa  Suomi,,
14,Puhelin,"0207347170, 0405610540",,
15,Sähköposti,marko.tuuri(a)pohjanmaanasemat.fi,,
