,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Ehrström Corporation Oy,20.01.2016,
1,Y-tunnus,2735100-3,,
2,Kotipaikka,Helsinki,20.01.2016,
3,Yritysmuoto,Osakeyhtiö,20.01.2016,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,20.01.2016,,
6,Viimeisin rekisteröintiajankohta,04.05.2022,04.05.2022,
7,Yrityksen tiedot järjestelmässä alkaen,20.01.2016,,
8,Yrityksen tila,Rekisterissä,20.01.2016,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Ei,,
11,Yhteystiedot,,08.01.2016,
12,Postiosoite,Kapteenintie 17  00890  Helsinki  Suomi,,
13,Käyntiosoite,Kapteenintie 17  00890  Helsinki  Suomi,,
