,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Veikkolan kuljetus Oy,06.10.2015,
1,Y-tunnus,2713297-8,,
2,Kotipaikka,Kirkkonummi,06.10.2015,
3,Yritysmuoto,Osakeyhtiö,06.10.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,06.10.2015,,
6,Viimeisin rekisteröintiajankohta,07.03.2023,07.03.2023,
7,Yrityksen tiedot järjestelmässä alkaen,06.10.2015,,
8,Yrityksen tila,Rekisterissä,06.10.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Ei,,
11,Yhteystiedot,,20.08.2021,
12,Postiosoite,Eteläinen Salmitie 1  02430  Masala  Suomi,,
13,Käyntiosoite,Eteläinen Salmitie 1  02430  Masala  Suomi,,
14,Puhelin,0458092270,,
