,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,HALI - Harmony Living Oy,01.06.2015,
1,Y-tunnus,2691806-3,,
2,Kotipaikka,Kauniainen,01.06.2015,
3,Yritysmuoto,Osakeyhtiö,01.06.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,01.06.2015,,
6,Viimeisin rekisteröintiajankohta,04.05.2022,04.05.2022,
7,Yrityksen tiedot järjestelmässä alkaen,01.06.2015,,
8,Yrityksen tila,Rekisterissä,01.06.2015,
9,Yrityksellä on yrityskiinnityksiä,Kyllä,,
10,Yrityksellä on edunsaajatietoja,Kyllä,02.07.2020,
11,Yhteystiedot,,18.07.2022,
12,Postiosoite,Finbyntie 120  10300  Karjaa  Suomi,,
13,Käyntiosoite,Finbyntie 120  10300  Karjaa  Suomi,,
14,Puhelin,0407575500,,
15,Sähköposti,kaisa(a)hali.fi,,
16,Www,http://www.hali.fi,,
