,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Rättivääpeli Oy,21.01.2016,
1,Y-tunnus,2735972-6,,
2,Kotipaikka,Loppi,21.01.2016,
3,Yritysmuoto,Osakeyhtiö,21.01.2016,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,21.01.2016,,
6,Viimeisin rekisteröintiajankohta,20.05.2023,20.05.2023,
7,Yrityksen tiedot järjestelmässä alkaen,21.01.2016,,
8,Yrityksen tila,Rekisterissä,21.01.2016,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,26.06.2020,
11,Yhteystiedot,,30.09.2019,
12,Postiosoite,Ketokuja 22  12600  Läyliäinen  Suomi,,
13,Käyntiosoite,Yrittäjäntie 14 as. 12  01800  Klaukkala  Suomi,,
14,Puhelin,0400362452,,
15,Sähköposti,petri.numminen(a)rattivaapeli.fi,,
16,Www,http://www.rättivääpeli.fi,,
