,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,South city Drivers Oy,26.08.2021,
1,Y-tunnus,2728269-3,,
2,Kotipaikka,Helsinki,26.08.2021,
3,Yritysmuoto,Osakeyhtiö,04.12.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,04.12.2015,,
6,Viimeisin rekisteröintiajankohta,21.07.2022,21.07.2022,
7,Yrityksen tiedot järjestelmässä alkaen,04.12.2015,,
8,Yrityksen tila,Rekisterissä,04.12.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,21.10.2021,
11,Yhteystiedot,,31.08.2021,
12,Postiosoite,Saniaistie 14-16 D 31  00730  Helsinki  Suomi,,
13,Käyntiosoite,Saniaistie 14-16 D 31  00730  Helsinki  Suomi,,
