,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Buleheimo Oy,06.08.2015,
1,Y-tunnus,2695611-5,,
2,Kotipaikka,Helsinki,06.08.2015,
3,Yritysmuoto,Osakeyhtiö,06.08.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,06.08.2015,,
6,Viimeisin rekisteröintiajankohta,16.02.2023,16.02.2023,
7,Yrityksen tiedot järjestelmässä alkaen,06.08.2015,,
8,Yrityksen tila,Rekisterissä,06.08.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,25.05.2020,
11,Yhteystiedot,,28.12.2017,
12,Postiosoite,Katajanokanlaituri 5  00160  Helsinki  Suomi,,
13,Käyntiosoite,Katajanokanlaituri 5  00160  Helsinki  Suomi,,
