,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Kuruson Oy,24.11.2015,
1,Y-tunnus,2725130-1,,
2,Kotipaikka,Hollola,24.11.2015,
3,Yritysmuoto,Osakeyhtiö,24.11.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,24.11.2015,,
6,Viimeisin rekisteröintiajankohta,03.06.2021,03.06.2021,
7,Yrityksen tiedot järjestelmässä alkaen,24.11.2015,,
8,Yrityksen tila,Rekisterissä,24.11.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Ei,,
11,Yhteystiedot,,28.09.2017,
12,Postiosoite,Niine 6/12 10414 Tallinna  Viro,,
13,Puhelin,+37256690495,,
14,Sähköposti,mkuruson(a)wellmonde.com,,
15,Www,http://www.wellmonde.com,,
