,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Unifund Jyväskylä Oy,27.04.2015,
1,Y-tunnus,2686140-7,,
2,Kotipaikka,Jyväskylä,27.04.2015,
3,Yritysmuoto,Osakeyhtiö,27.04.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,27.04.2015,,
6,Viimeisin rekisteröintiajankohta,30.03.2022,30.03.2022,
7,Yrityksen tiedot järjestelmässä alkaen,27.04.2015,,
8,Yrityksen tila,Rekisterissä,27.04.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,14.08.2019,
11,Yhteystiedot,,14.04.2015,
12,Postiosoite,PL 35  40014  Jyväskylän yliopisto  Suomi,,
13,Käyntiosoite,Seminaarinkatu 15  40100  Jyväskylä  Suomi,,
