,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Wella Finland Oy,15.03.2022,
1,Y-tunnus,2735896-9,,
2,Kotipaikka,Helsinki,19.01.2016,
3,Yritysmuoto,Osakeyhtiö,19.01.2016,
4,Yrityksen kieli,ruotsi,,
5,Rekisteröintiajankohta,19.01.2016,,
6,Viimeisin rekisteröintiajankohta,28.03.2023,28.03.2023,
7,Yrityksen tiedot järjestelmässä alkaen,19.01.2016,,
8,Yrityksen tila,Rekisterissä,19.01.2016,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,31.07.2020,
11,Yhteystiedot,,03.09.2021,
12,Postiosoite,Bulevardi 21  00180  Helsinki  Suomi,,
13,Käyntiosoite,Bulevardi 21  00180  Helsinki  Suomi,,
