,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Sleeplines Oy,02.12.2015,
1,Y-tunnus,2727744-8,,
2,Kotipaikka,Kuopio,02.12.2015,
3,Yritysmuoto,Osakeyhtiö,02.12.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,02.12.2015,,
6,Viimeisin rekisteröintiajankohta,05.01.2023,05.01.2023,
7,Yrityksen tiedot järjestelmässä alkaen,02.12.2015,,
8,Yrityksen tila,Rekisterissä,02.12.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,06.07.2020,
11,Yhteystiedot,,21.12.2022,
12,Postiosoite,c/o Sleeplines Oy  Sormulantie 24  70870  Hiltulanlahti  Suomi,,
13,Käyntiosoite,Koljonniemenkatu 1 A  70100  Kuopio  Suomi,,
14,Puhelin,0400720600,,
15,Sähköposti,info(a)wuoksi.fi,,
16,Www,http://www.wuoksi.fi,,
