,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,CLIC Innovation Oy,01.09.2015,
1,Y-tunnus,2689612-4,,
2,Kotipaikka,Helsinki,01.09.2015,
3,Yritysmuoto,Osakeyhtiö,01.09.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,01.09.2015,,
6,Viimeisin rekisteröintiajankohta,29.09.2022,29.09.2022,
7,Yrityksen tiedot järjestelmässä alkaen,01.09.2015,,
8,Yrityksen tila,Rekisterissä,01.09.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,05.07.2021,
11,Yhteystiedot,,15.09.2015,
12,Postiosoite,PL 10  00131  Helsinki  Suomi,,
13,Käyntiosoite,Eteläranta 10  00130  Helsinki  Suomi,,
14,Www,http://www.clicinnovation.fi,,
