,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Ahdex Oy,27.01.2016,
1,Y-tunnus,2738503-5,,
2,Kotipaikka,Vantaa,27.01.2016,
3,Yritysmuoto,Osakeyhtiö,27.01.2016,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,27.01.2016,,
6,Viimeisin rekisteröintiajankohta,30.05.2023,30.05.2023,
7,Yrityksen tiedot järjestelmässä alkaen,27.01.2016,,
8,Yrityksen tila,Rekisterissä,27.01.2016,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Ei,,
11,Yhteystiedot,,27.03.2016,
12,Postiosoite,Maauunintie 27 D 40  01450  Vantaa  Suomi,,
13,Puhelin,"0105835310, 0503061655",,
14,Sähköposti,remonttipalvelu(a)ahdex.fi,,
15,Www,http://www.ahdex.fi,,
