,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Lumivalkoinen Oy,20.01.2015,
1,Y-tunnus,2664186-9,,
2,Kotipaikka,Helsinki,20.01.2015,
3,Yritysmuoto,Osakeyhtiö,20.01.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,20.01.2015,,
6,Viimeisin rekisteröintiajankohta,12.05.2022,12.05.2022,
7,Yrityksen tiedot järjestelmässä alkaen,20.01.2015,,
8,Yrityksen tila,Rekisterissä,20.01.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,06.07.2020,
11,Yhteystiedot,,04.01.2016,
12,Postiosoite,Koskenniementie 8  79130  Sorsakoski  Suomi,,
13,Käyntiosoite,Koskenniementie 8  79130  Sorsakoski  Suomi,,
14,Puhelin,0407644077,,
