,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Sataman Kodit Oy LKV,22.12.2015,
1,Y-tunnus,2730932-3,,
2,Kotipaikka,Oulu,22.12.2015,
3,Yritysmuoto,Osakeyhtiö,22.12.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,22.12.2015,,
6,Viimeisin rekisteröintiajankohta,13.05.2023,13.05.2023,
7,Yrityksen tiedot järjestelmässä alkaen,22.12.2015,,
8,Yrityksen tila,Rekisterissä,22.12.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,07.06.2021,
11,Yhteystiedot,,04.10.2019,
12,Postiosoite,Valtatie 45 L 1  90500  Oulu  Suomi,,
13,Käyntiosoite,Valtatie 45 L 1  90500  Oulu  Suomi,,
14,Puhelin,044 236 6435,,
15,Sähköposti,tuira(a)kiinteistomaailma.fi,,
