,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,AM2 Palvelut Oy,08.10.2015,
1,Y-tunnus,2716342-4,,
2,Kotipaikka,Helsinki,08.10.2015,
3,Yritysmuoto,Osakeyhtiö,08.10.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,08.10.2015,,
6,Viimeisin rekisteröintiajankohta,26.08.2022,26.08.2022,
7,Yrityksen tiedot järjestelmässä alkaen,08.10.2015,,
8,Yrityksen tila,Rekisterissä,08.10.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,02.03.2022,
11,Yhteystiedot,,27.03.2017,
12,Postiosoite,Vantaankoskentie 14  01670  Vantaa  Suomi,,
