,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,KOy Helsingin Mäkelänkadun Koti,21.01.2016,
1,Y-tunnus,2732877-8,,
2,Kotipaikka,Helsinki,21.01.2016,
3,Yritysmuoto,Osakeyhtiö,21.01.2016,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,21.01.2016,,
6,Viimeisin rekisteröintiajankohta,20.04.2023,20.04.2023,
7,Yrityksen tiedot järjestelmässä alkaen,21.01.2016,,
8,Yrityksen tila,Rekisterissä,21.01.2016,
9,Yrityksen tilanne,Selvitystilassa,20.04.2023,
10,Yrityksellä on yrityskiinnityksiä,Ei,,
11,Yrityksellä on edunsaajatietoja,Kyllä,17.05.2022,
12,Yhteystiedot,,18.01.2021,
13,Postiosoite,c/o NAL Asunnot Oy  Malminkaari 9  00700  Helsinki  Suomi,,
14,Käyntiosoite,c/o NAL Asunnot Oy  Malminkaari 9  00700  Helsinki  Suomi,,
15,Puhelin,097745366,,
16,Sähköposti,asiakaspalvelu(a)nalasunnot.fi,,
17,Www,http://www.nalasunnot.fi,,
