,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Attmankan Ab,27.01.2015,
1,Y-tunnus,2664042-8,,
2,Kotipaikka,Sipoo,27.01.2015,
3,Yritysmuoto,Osakeyhtiö,27.01.2015,
4,Yrityksen kieli,ruotsi,,
5,Rekisteröintiajankohta,27.01.2015,,
6,Viimeisin rekisteröintiajankohta,30.04.2022,30.04.2022,
7,Yrityksen tiedot järjestelmässä alkaen,27.01.2015,,
8,Yrityksen tila,Rekisterissä,27.01.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,10.08.2021,
11,Yhteystiedot,,07.01.2015,
12,Postiosoite,c/o Nynäs-Aspö  Vitsippsgränden 7  01150  Söderkulla  Suomi,,
13,Käyntiosoite,c/o Nynäs-Aspö  Vitsippsgränden 7  01150  Söderkulla  Suomi,,
14,Puhelin,+358505166343,,
15,Sähköposti,nynas-aspo(a)kolumbus.fi,,
