,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Mese-Huolto Oy,02.06.2015,
1,Y-tunnus,2693695-8,,
2,Kotipaikka,Seinäjoki,02.06.2015,
3,Yritysmuoto,Osakeyhtiö,02.06.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,02.06.2015,,
6,Viimeisin rekisteröintiajankohta,20.04.2021,20.04.2021,
7,Yrityksen tiedot järjestelmässä alkaen,02.06.2015,,
8,Yrityksen tila,Rekisterissä,02.06.2015,
9,Yrityksen tilanne,Selvitystilassa,13.05.2020,
10,Yrityksellä on yrityskiinnityksiä,Ei,,
11,Yrityksellä on edunsaajatietoja,Kyllä,20.04.2021,
12,Yhteystiedot,,15.04.2020,
13,Postiosoite,Kuortaneentie 817  60640  Isokoski  Suomi,,
14,Käyntiosoite,Kuortaneentie 817  60640  Isokoski  Suomi,,
15,Puhelin,"0405489314, 0405442081",,
16,Sähköposti,tarja.kylmaluoma(a)netikka.fi,,
