,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Teppanyaki Helsinki Oy,15.12.2015,
1,Y-tunnus,2728428-5,,
2,Kotipaikka,Helsinki,15.12.2015,
3,Yritysmuoto,Osakeyhtiö,15.12.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,15.12.2015,,
6,Viimeisin rekisteröintiajankohta,10.12.2021,10.12.2021,
7,Yrityksen tiedot järjestelmässä alkaen,15.12.2015,,
8,Yrityksen tila,Rekisterissä,15.12.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,03.07.2020,
11,Yhteystiedot,,12.09.2017,
12,Postiosoite,Eerikinkatu 14  00100  Helsinki  Suomi,,
13,Käyntiosoite,Eerikinkatu 14  00100  Helsinki  Suomi,,
14,Puhelin,"0408338088, +358453106789",,
15,Sähköposti,zhaohuafang(a)hotmail.com,,
