,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,KNX-Taloautomaatio Oy,26.06.2015,
1,Y-tunnus,2694471-2,,
2,Kotipaikka,Ähtäri,26.06.2015,
3,Yritysmuoto,Osakeyhtiö,26.06.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,26.06.2015,,
6,Viimeisin rekisteröintiajankohta,26.06.2019,26.06.2019,
7,Yrityksen tiedot järjestelmässä alkaen,26.06.2015,,
8,Yrityksen tila,Rekisterissä,26.06.2015,
9,Yrityksen tilanne,Konkurssissa,26.06.2019,
10,Yrityksellä on yrityskiinnityksiä,Kyllä,,
11,Yrityksellä on edunsaajatietoja,Ei,,
12,Yhteystiedot,,21.03.2018,
13,Postiosoite,Päivölänkatu 3 C  60120  Seinäjoki  Suomi,,
14,Käyntiosoite,Viertotie 9 A 1  63700  Ähtäri  Suomi,,
15,Puhelin,"+358 45 224 0194, +358 45 224 0194",,
16,Sähköposti,info(a)homiez.fi,,
17,Www,http://www.homiez.fi,,
