,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Detaljee Oy,03.03.2015,
1,Y-tunnus,2676879-8,,
2,Kotipaikka,Helsinki,03.03.2015,
3,Yritysmuoto,Osakeyhtiö,03.03.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,03.03.2015,,
6,Viimeisin rekisteröintiajankohta,08.09.2022,08.09.2022,
7,Yrityksen tiedot järjestelmässä alkaen,03.03.2015,,
8,Yrityksen tila,Rekisterissä,03.03.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,21.08.2019,
11,Yhteystiedot,,09.03.2023,
12,Postiosoite,Museokatu 44 B 40  00100  Helsinki  Suomi,,
13,Käyntiosoite,Museokatu 44 B 40  00100  Helsinki  Suomi,,
14,Puhelin,045 636 0927,,
15,Sähköposti,tommi(a)detaljee.fi,,
16,Www,http://www.detaljee.fi,,
