,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Ab Katarina Näs Oy,01.03.2016,
1,Y-tunnus,2722910-4,,
2,Kotipaikka,Pietarsaari,01.03.2016,
3,Yritysmuoto,Osakeyhtiö,01.03.2016,
4,Yrityksen kieli,ruotsi,,
5,Rekisteröintiajankohta,01.03.2016,,
6,Viimeisin rekisteröintiajankohta,07.04.2023,07.04.2023,
7,Yrityksen tiedot järjestelmässä alkaen,01.03.2016,,
8,Yrityksen tila,Rekisterissä,01.03.2016,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,18.09.2020,
11,Yhteystiedot,,05.11.2015,
12,Postiosoite,Runebergsgatan 8  68600  Jakobstad  Suomi,,
13,Puhelin,06-7210120,,
