,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Uusi Koti Oy LKV,31.07.2019,
1,Y-tunnus,2726175-3,,
2,Kotipaikka,Vantaa,29.12.2015,
3,Yritysmuoto,Osakeyhtiö,29.12.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,29.12.2015,,
6,Viimeisin rekisteröintiajankohta,27.08.2022,27.08.2022,
7,Yrityksen tiedot järjestelmässä alkaen,29.12.2015,,
8,Yrityksen tila,Rekisterissä,29.12.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,14.05.2020,
11,Yhteystiedot,,14.09.2022,
12,Postiosoite,"c/o REMAX Classic, Kirsi Lehtinen  Louhentie 2  02130  Espoo  Suomi",,
13,Käyntiosoite,"c/o REMAX Classic, Kirsi Lehtinen  Louhentie 2  02130  Espoo  Suomi",,
14,Puhelin,0400-194195,,
