,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Vispen Oy,23.12.2015,
1,Y-tunnus,2733011-4,,
2,Kotipaikka,Hämeenlinna,23.12.2015,
3,Yritysmuoto,Osakeyhtiö,23.12.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,23.12.2015,,
6,Viimeisin rekisteröintiajankohta,02.02.2023,02.02.2023,
7,Yrityksen tiedot järjestelmässä alkaen,23.12.2015,,
8,Yrityksen tila,Rekisterissä,23.12.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,29.06.2020,
11,Yhteystiedot,,30.01.2018,
12,Postiosoite,c/o Janne Viskari  Kaarlonkatu 7  13210  Hämeenlinna  Suomi,,
