,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,BERGÖ SERVICEBOENDE AB,12.06.2015,
1,Y-tunnus,2688679-4,,
2,Kotipaikka,Maalahti,12.06.2015,
3,Yritysmuoto,Osakeyhtiö,12.06.2015,
4,Yrityksen kieli,ruotsi,,
5,Rekisteröintiajankohta,12.06.2015,,
6,Viimeisin rekisteröintiajankohta,02.12.2022,02.12.2022,
7,Yrityksen tiedot järjestelmässä alkaen,12.06.2015,,
8,Yrityksen tila,Rekisterissä,12.06.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,16.07.2020,
11,Yhteystiedot,,02.12.2022,
12,Postiosoite,c/o Oy KIHA-Team Ab  Opistokatu 11 A 5  65100  Vasa  Suomi,,
13,Käyntiosoite,c/o Bergö Serviceboende  Bredhällsvägen 61  66220  Bergö  Suomi,,
14,Puhelin,"0504478030, 0504478030",,
15,Sähköposti,elvira.bg75(a)kihateam.fi,,
16,Www,http://www.kihateam.fi,,
