,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Järviseudun Sähköasennus Oy,25.10.2021,
1,Y-tunnus,2727897-7,,
2,Kotipaikka,Alajärvi,10.12.2015,
3,Yritysmuoto,Osakeyhtiö,10.12.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,10.12.2015,,
6,Viimeisin rekisteröintiajankohta,19.11.2022,19.11.2022,
7,Yrityksen tiedot järjestelmässä alkaen,10.12.2015,,
8,Yrityksen tila,Rekisterissä,10.12.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,05.11.2020,
11,Yhteystiedot,,30.11.2015,
12,Postiosoite,Hirsikankaantie 8  62900  Alajärvi  Suomi,,
