,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Vibrol Oy,16.07.2015,
1,Y-tunnus,2699985-2,,
2,Kotipaikka,Tuusula,16.07.2015,
3,Yritysmuoto,Osakeyhtiö,16.07.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,16.07.2015,,
6,Viimeisin rekisteröintiajankohta,05.01.2023,05.01.2023,
7,Yrityksen tiedot järjestelmässä alkaen,16.07.2015,,
8,Yrityksen tila,Rekisterissä,16.07.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,05.01.2023,
11,Yhteystiedot,,01.02.2016,
12,Postiosoite,Sulantie 18  04300  Tuusula  Suomi,,
13,Käyntiosoite,Sulantie 18  04300  Tuusula  Suomi,,
14,Puhelin,"050-3748384, 050-3748384",,
