,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Mer Arkkitehdit Oy,04.08.2015,
1,Y-tunnus,2701341-8,,
2,Kotipaikka,Helsinki,04.08.2015,
3,Yritysmuoto,Osakeyhtiö,04.08.2015,
4,Yrityksen kieli,ruotsi,,
5,Rekisteröintiajankohta,04.08.2015,,
6,Viimeisin rekisteröintiajankohta,15.07.2022,15.07.2022,
7,Yrityksen tiedot järjestelmässä alkaen,04.08.2015,,
8,Yrityksen tila,Rekisterissä,04.08.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,10.08.2020,
11,Yhteystiedot,,29.11.2021,
12,Postiosoite,Uudenmaankatu 4 A 2  00120  Helsinki  Suomi,,
13,Käyntiosoite,Uudenmaankatu 4 A 2  00120  Helsinki  Suomi,,
14,Puhelin,0505954669,,
15,Sähköposti,julia(a)merarkkitehdit.fi,,
16,Www,http://www.merarkkitehdit.fi,,
