,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,MP Cargo Oy,05.03.2015,
1,Y-tunnus,2665413-3,,
2,Kotipaikka,Kokkola,05.03.2015,
3,Yritysmuoto,Osakeyhtiö,05.03.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,05.03.2015,,
6,Viimeisin rekisteröintiajankohta,16.12.2022,16.12.2022,
7,Yrityksen tiedot järjestelmässä alkaen,05.03.2015,,
8,Yrityksen tila,Rekisterissä,05.03.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,16.12.2022,
11,Yhteystiedot,,13.10.2017,
12,Postiosoite,Peltokorventie 492  68300  Kälviä  Suomi,,
13,Käyntiosoite,Peltokorventie 492  68300  Kälviä  Suomi,,
14,Puhelin,0400580090,,
