,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Laten KH-Palvelut Oy,08.10.2015,
1,Y-tunnus,2715489-4,,
2,Kotipaikka,Tuusula,08.10.2015,
3,Yritysmuoto,Osakeyhtiö,08.10.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,08.10.2015,,
6,Viimeisin rekisteröintiajankohta,08.02.2023,08.02.2023,
7,Yrityksen tiedot järjestelmässä alkaen,08.10.2015,,
8,Yrityksen tila,Rekisterissä,08.10.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,23.03.2021,
11,Yhteystiedot,,30.11.2021,
12,Postiosoite,Koivulehdontie 10  04500  Kellokoski  Suomi,,
13,Käyntiosoite,Kauppatie 8 B  04300  Tuusula  Suomi,,
14,Puhelin,0400 599 888,,
15,Sähköposti,huolto(a)latenpalvelut.fi,,
16,Www,http://www.latenpalvelut.fi,,
