,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Tietoevry Finland Support Services Oy,05.10.2022,
1,Y-tunnus,2677732-8,,
2,Kotipaikka,Helsinki,27.02.2015,
3,Yritysmuoto,Osakeyhtiö,27.02.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,27.02.2015,,
6,Viimeisin rekisteröintiajankohta,05.10.2022,05.10.2022,
7,Yrityksen tiedot järjestelmässä alkaen,27.02.2015,,
8,Yrityksen tila,Rekisterissä,27.02.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,30.06.2020,
11,Yhteystiedot,,12.10.2021,
12,Postiosoite,PL 2  02101  Espoo  Suomi,,
13,Käyntiosoite,Keilalahdentie 2-4  02150  Espoo  Suomi,,
14,Puhelin,02072010,,
15,Sähköposti,etunimi.sukunimi(a)tietoevry.com,,
16,Www,http://www.tietoevry.com,,
