,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Fastighetsbolag Indolahallen Ab,11.05.2015,
1,Y-tunnus,2687410-1,,
2,Kotipaikka,Kokkola,11.05.2015,
3,Yritysmuoto,Osakeyhtiö,11.05.2015,
4,Yrityksen kieli,ruotsi,,
5,Rekisteröintiajankohta,11.05.2015,,
6,Viimeisin rekisteröintiajankohta,29.06.2022,29.06.2022,
7,Yrityksen tiedot järjestelmässä alkaen,11.05.2015,,
8,Yrityksen tila,Rekisterissä,11.05.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Ei,,
11,Yhteystiedot,,22.04.2015,
12,Postiosoite,Sältisbackavägen 5  67600  Karleby  Suomi,,
13,Käyntiosoite,Indolavägen 24  67600  Karleby  Suomi,,
