,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Jollan Oy,28.01.2016,
1,Y-tunnus,2733379-6,,
2,Kotipaikka,Mikkeli,28.01.2016,
3,Yritysmuoto,Osakeyhtiö,28.01.2016,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,28.01.2016,,
6,Viimeisin rekisteröintiajankohta,05.04.2023,05.04.2023,
7,Yrityksen tiedot järjestelmässä alkaen,28.01.2016,,
8,Yrityksen tila,Rekisterissä,28.01.2016,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,04.10.2019,
11,Yhteystiedot,,23.12.2015,
12,Postiosoite,Laaksokatu 6  50100  Mikkeli  Suomi,,
13,Käyntiosoite,Laaksokatu 6  50100  Mikkeli  Suomi,,
14,Puhelin,0408344343,,
