,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Pal-Metalli Oy,05.08.2015,
1,Y-tunnus,2701873-7,,
2,Kotipaikka,Paltamo,05.08.2015,
3,Yritysmuoto,Osakeyhtiö,05.08.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,05.08.2015,,
6,Viimeisin rekisteröintiajankohta,31.05.2022,31.05.2022,
7,Yrityksen tiedot järjestelmässä alkaen,05.08.2015,,
8,Yrityksen tila,Rekisterissä,05.08.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,22.06.2020,
11,Yhteystiedot,,24.07.2015,
12,Postiosoite,Käsityöläisentie 4 B  88470  Kontiomäki  Suomi,,
13,Käyntiosoite,Käsityöläisentie 4 B  88470  Kontiomäki  Suomi,,
14,Puhelin,0440500065,,
