,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Lantmännen Cerealia Oy,08.12.2015,
1,Y-tunnus,2725608-1,,
2,Kotipaikka,Helsinki,08.12.2015,
3,Yritysmuoto,Osakeyhtiö,08.12.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,08.12.2015,,
6,Viimeisin rekisteröintiajankohta,01.05.2023,01.05.2023,
7,Yrityksen tiedot järjestelmässä alkaen,08.12.2015,,
8,Yrityksen tila,Rekisterissä,08.12.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,05.09.2019,
11,Yhteystiedot,,18.11.2015,
12,Postiosoite,Salmisaarenaukio 1  00180  Helsingfors  Suomi,,
13,Käyntiosoite,Salmisaarenaukio 1  00180  Helsingfors  Suomi,,
