,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Bloke Oy,08.01.2016,
1,Y-tunnus,2733112-5,,
2,Kotipaikka,Pori,08.01.2016,
3,Yritysmuoto,Osakeyhtiö,08.01.2016,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,08.01.2016,,
6,Viimeisin rekisteröintiajankohta,04.05.2023,04.05.2023,
7,Yrityksen tiedot järjestelmässä alkaen,08.01.2016,,
8,Yrityksen tila,Rekisterissä,08.01.2016,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,16.10.2019,
11,Yhteystiedot,,28.04.2022,
12,Postiosoite,Jauhiaisentie 10 A 2  28200  Pori  Suomi,,
13,Käyntiosoite,c/o Nokkonen  Jauhiaisentie 10 A 2  28200  Pori  Suomi,,
