,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Rakennus- ja pihapalvelu Ahlstedt Oy,01.01.2016,
1,Y-tunnus,2730647-2,,
2,Kotipaikka,Tuusula,01.01.2016,
3,Yritysmuoto,Osakeyhtiö,01.01.2016,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,01.01.2016,,
6,Viimeisin rekisteröintiajankohta,25.02.2023,25.02.2023,
7,Yrityksen tiedot järjestelmässä alkaen,01.01.2016,,
8,Yrityksen tila,Rekisterissä,01.01.2016,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Ei,,
11,Yhteystiedot,,18.08.2022,
12,Postiosoite,Hanslankarintie 15  04500  Kellokoski  Suomi,,
13,Käyntiosoite,Hanslankarintie 15  04500  Kellokoski  Suomi,,
14,Sähköposti,info(a)pihapalvelut.fi,,
