,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Arctic Piling Oy,28.01.2016,
1,Y-tunnus,2735484-5,,
2,Kotipaikka,Kotka,28.01.2016,
3,Yritysmuoto,Osakeyhtiö,28.01.2016,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,28.01.2016,,
6,Viimeisin rekisteröintiajankohta,09.02.2023,09.02.2023,
7,Yrityksen tiedot järjestelmässä alkaen,28.01.2016,,
8,Yrityksen tila,Rekisterissä,28.01.2016,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Ei,,
11,Yhteystiedot,,31.07.2022,
12,Postiosoite,Kaidansuontie 42  49220  Siltakylä  Suomi,,
13,Käyntiosoite,Puistotie 24  48130  Kotka  Suomi,,
14,Puhelin,"0443039965, 0443039965",,
15,Sähköposti,info(a)arcticpiling.fi,,
16,Www,http://www.arcticpiling.fi,,
